48,46,Carles III (Pl. Prat de la Riba a Pl. Maria Cristina)
48,48,Carles III (Pl. Maria Cristina a Travessera de les Corts)
48,50,Carles III (Travessera de les Corts a Carrer de Sans)
48,52,Carles III (Carrer de Sants a Pl. Cerdà)
49,0,Ronda del Mig de Pl. Cerdà a Ronda Litoral
49,147,Passeig de la Zona Franca (Pl. Cerdà a Foc)
49,149,Passeig de la Zona Franca (Foc a Ronda del Litoral)
50,0,Via Augusta de P.Bonanova a Mitre
50,38,Via Augusta (Ronda de Dalt a Passeig Bonanova)
50,40,Via Augusta (Passeig Bonanova a Vergós)
50,42,Via Augusta (Vergós a Mitre)
51,0,Via Augusta de Mitre a Pl. Molina
51,72,Via Augusta (Mitre a Muntaner)
51,74,Via Augusta (Muntaner a Pl. Molina)
52,0,Via Augusta de Pl. Molina a Mitre
52,73,Via Augusta (Muntaner a Mitre)
52,75,Via Augusta (Pl. Molina a Muntaner)
53,0,Via Augusta de Mitre a P. Bonanova
53,39,Via Augusta (Passeig Bonanova a Ronda de Dalt)
53,41,Via Augusta (Vergós a Passeig Bonanova)
53,43,Via Augusta (Mitre a Vergós)
54,0,Av. Estatut de Ronda de Dalt a Túnel de la Rovira
54,217,Av. Estatut de Catalunya (Ronda de Dalt a Av. Can Marcet)
54,219,Av. Estatut de Catalunya (Av. Can Marcet a Lisboa)
54,221,Rambla del Carmel (Lisboa a Túnel de la Rovira)
55,0,Túnel de la Rovira de Rambla del Carmel a Ronda del Mig
55,223,Túnel de la Rovira (Rambla del Carmel a Ronda Guinardó)
56,0,Lepant de Ronda del Mig a Gran Via
56,211,Lepant (Ronda Guinardó a Maria Claret)
56,212,Lepant (Maria Claret a Aragó)
56,213,Lepant (Aragó a Gran Via)
57,0,Padilla de Gran Via a Ronda del Mig
57,214,Padilla (Gran Via a Aragó)
57,215,Padilla (Aragó a Maria Claret)
57,216,Padilla (Maria Claret a Ronda Guinardó)
58,0,Túnel de la Rovira de Ronda del Mig a Rambla del Carmel
58,224,Túnel de la Rovira (Ronda Guinardó a Rambla del Carmel)
59,0,Av. Estatut de Túnel de la Rovira a Ronda de Dalt
59,218,Av. Estatut de Catalunya (Av. Can Marcet a Ronda de Dalt)
59,220,Av. Estatut de Catalunya (Lisboa a Av. Can Marcet)
59,222,Ciències (Túnel de la Rovira a Lisboa)
60,0,Marina de Pl. dels Voluntaris a Diagonal
60,207,Marina (Pl. Voluntaris a Av. Icària)
60,208,Marina (Av. Icària a Av. Meridiana)
60,209,Marina (Av. Meridiana a Gran Via)
60,210,Marina (Gran Via a Diagonal)
61,0,Marina de Gran Via a Pl. dels Voluntaris
61,404,Marina (Meridiana a Av. Icària)
61,405,Marina (Av. Icària a Pl. Voluntaris)
61,422,Marina (Gran Via a Meridiana)
62,0,Bac de Roda de Passeig de Garcia Fària a Gran Via
62,315,Bac de Roda (Ronda Litoral a Pere IV)
62,316,Bac de Roda (Pere IV a Gran Via)
63,0,Bac de Roda / Felip II de Gran Via a Meridiana
63,317,Bac de Roda (Gran Via a Clot)
63,318,Felip II (Clot a Meridiana)
64,0,Felip II de Meridiana a Ronda del Mig
64,319,Felip II (Meridiana a Ramon Albó)
65,0,Ronda de Dalt de Diagonal a Sant Gervasi
65,513,Ronda de Dalt (Foix a Bellesguard)
65,515,Ronda de Dalt (Carretera d'Esplugues a Foix)
65,517,Ronda de Dalt (Diagonal a Carretera d'Esplugues)
66,0,Ronda de Dalt de Sant Gervasi a Av. Estatut
66,507,Ronda de Dalt (Av. Jordà a Av. Estatut de Catalunya)
66,509,Ronda de Dalt (Pl. d'Alfons Comín a Av. Jordà)
66,511,Ronda de Dalt (Bellesguard a Pl. Alfons Comín)
67,0,Ronda de Dalt d'Av. Estatut a Nus de la Trinitat
67,501,Ronda de Dalt (Via Júlia a Nus de la Trinitat)
67,503,Ronda de Dalt (Pl. Karl Marx a Via Júlia)
67,505,Ronda de Dalt (Av. Estatut de Catalunya a Pl. Karl Marx)
68,0,Ronda de Dalt de Nus de la Trinitat a Av. Estatut
68,502,Ronda de Dalt (Nus de la Trinitat a Via Júlia)
68,504,Ronda de Dalt (Via Júlia a Pl. Karl Marx)
68,506,Ronda de Dalt (Pl. Karl Marx a Av. Estatut de Catalunya)
69,0,Ronda de Dalt d'Av. Estatut a Sant Gervasi
69,508,Ronda de Dalt (Av. Estatut de Catalunya a Av. Jordà)
69,510,Ronda de Dalt (Av. Jordà a Pl. d'Alfons Comín)
69,512,Ronda de Dalt (Pl. Alfons Comín a Bellesguard)
70,0,Ronda de Dalt de Sant Gervasi a Diagonal
70,514,Ronda de Dalt (Bellesguard a Foix)
70,516,Ronda de Dalt (Foix a Carretera d'Esplugues)
70,518,Ronda de Dalt (Carretera d'Esplugues a Diagonal)
71,0,Ronda Litoral de Nus de la Trinitat a Rambla de Prim
71,528,Ronda del Litoral (Gran Via a Rambla de Prim)
71,532,Ronda Litoral (Potosí a Gran Via)
71,534,Ronda Litoral (Nus de la Trinitat a Potosí)
72,0,Ronda Litoral de Rambla de Prim a Josep Carner
72,522,Ronda del Litoral (Pl. dels Voluntaris a Miramar)
72,524,Ronda del Litoral (Bac de Roda a Pl. dels Voluntaris)
72,526,Ronda del Litoral (Rambla de Prim a Bac de Roda)
73,0,Ronda Litoral de Josep Carner a Estació de Can Tunis
73,520,Ronda del Litoral (Miramar a Passeig de la Zona Franca)
73,530,Ronda Litoral (Passeig de la Zona Franca a Estació de Can Tunis)
74,0,Ronda Litoral d'Estació de Can Tunis a Josep Carner
74,519,Ronda del Litoral (Passeig de la Zona Franca a Miramar)
74,529,Ronda Litoral (Estació de Can Tunis a Passeig de la Zona Franca)
75,0,Ronda Litoral de Josep Carner a Rambla de Prim
75,521,Ronda del Litoral (Miramar a Pl. dels Voluntaris)
75,523,Ronda del Litoral (Pl. dels Voluntaris a Bac de Roda)
75,525,Ronda del Litoral (Bac de Roda a Rambla de Prim)
76,0,Ronda Litoral de Rambla de Prim a Nus de la Trinitat
76,527,Ronda del Litoral (Rambla de Prim a Gran Via)
76,531,Ronda Litoral (Gran Via a Potosí)
76,533,Ronda Litoral (Potosí a Nus de la Trinitat)
77,0,Aribau de Pl. Universitat a Via Augusta
77,63,Aribau (Diagonal - Via Augusta)
77,120,Aribau (Pl. Universitat a Aragó)
77,121,Aribau (Aragó a Diagonal)
78,0,Maria Claret de Meridiana a Passeig de Sant Joan
78,251,Maria Claret (Av. Meridiana a Passeig de Maragall)
78,418,Maria Claret (Passeig de Maragall a Lepant)
78,419,Maria Claret (Lepant a Passeig de Sant Joan)
